## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=8_insert/F-H1-1.pdf INPUT=7_filter/F-H1-1.filter.bam OUTPUT=8_insert/F-H1-1.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 01 14:56:35 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
70	41	27	36	1996	96.708003	69.299926	7578381	FR	13	25	37	47	55	63	77	195	329	447	761			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
36	152994
37	154599
38	135496
39	158690
40	212129
41	228133
42	187885
43	149383
44	138220
45	133061
46	118212
47	99637
48	86394
49	90480
50	116062
51	140141
52	142401
53	118643
54	103980
55	96203
56	86309
57	75998
58	66181
59	63798
60	70022
61	82111
62	88036
63	84972
64	81239
65	76948
66	70991
67	63796
68	55989
69	52166
70	52915
71	57515
72	62040
73	62848
74	61729
75	59793
76	56469
77	52057
78	46345
79	43022
80	40942
81	42170
82	45656
83	46930
84	47693
85	46821
86	43689
87	41242
88	37139
89	33759
90	32284
91	32391
92	33410
93	34586
94	35238
95	35451
96	34029
97	31493
98	29370
99	26677
100	25157
101	24300
102	24892
103	25699
104	26185
105	26628
106	25911
107	24855
108	23217
109	21478
110	20186
111	19346
112	19118
113	19376
114	19665
115	20145
116	19986
117	19597
118	18364
119	17378
120	16398
121	15350
122	15142
123	15168
124	15222
125	15571
126	15724
127	15549
128	14817
129	14024
130	13197
131	12433
132	12346
133	12012
134	12338
135	12336
136	12444
137	12452
138	12572
139	11893
140	11127
141	10561
142	10105
143	9912
144	9951
145	10036
146	10083
147	10309
148	10442
149	10253
150	9985
151	10184
152	9422
153	8579
154	8342
155	8445
156	8573
157	8712
158	9197
159	9278
160	8908
161	8600
162	8220
163	7796
164	8174
165	8882
166	9634
167	10588
168	10826
169	10349
170	9602
171	9069
172	8850
173	9012
174	10069
175	11540
176	12729
177	12732
178	11681
179	10717
180	9987
181	9680
182	9655
183	9913
184	10414
185	11330
186	11640
187	11295
188	11088
189	10557
190	10023
191	10026
192	10302
193	10859
194	11554
195	12449
196	12712
197	12447
198	11820
199	11078
200	10994
201	11004
202	11632
203	11921
204	12546
205	13264
206	13459
207	13192
208	12517
209	11896
210	11674
211	11444
212	12024
213	12290
214	12680
215	13054
216	12964
217	12655
218	12418
219	11938
220	11282
221	11237
222	11147
223	11453
224	11540
225	12005
226	11875
227	11530
228	11255
229	10984
230	10628
231	10362
232	10136
233	10220
234	10313
235	10338
236	10562
237	10076
238	9989
239	9643
240	9335
241	8854
242	8911
243	8563
244	8809
245	8624
246	8638
247	8568
248	8265
249	8175
250	7934
251	7684
252	7365
253	7009
254	7208
255	6950
256	7041
257	6848
258	7004
259	6788
260	6555
261	6212
262	6086
263	6057
264	5808
265	5869
266	5758
267	5790
268	5666
269	5621
270	5339
271	5325
272	5111
273	5077
274	4980
275	4926
276	4762
277	4858
278	4882
279	4427
280	4343
281	4383
282	4329
283	4099
284	4084
285	4046
286	3984
287	3847
288	3874
289	3877
290	3943
291	3834
292	3614
293	3606
294	3534
295	3343
296	3361
297	3376
298	3356
299	3408
300	3372
301	3262
302	3176
303	3156
304	3102
305	3086
306	2989
307	2951
308	2994
309	2950
310	2938
311	2921
312	2904
313	2778
314	2766
315	2777
316	2689
317	2627
318	2653
319	2731
320	2646
321	2599
322	2586
323	2589
324	2605
325	2512
326	2424
327	2421
328	2508
329	2386
330	2380
331	2397
332	2394
333	2520
334	2397
335	2395
336	2295
337	2292
338	2136
339	2366
340	2355

