## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=8_insert/XF-H1-1.pdf INPUT=7_filter/XF-H1-1.filter.bam OUTPUT=8_insert/XF-H1-1.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 01 14:56:35 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
73	41	29	36	1951	99.19377	70.795287	3746773	FR	13	25	37	47	59	67	79	195	341	519	903			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
36	53335
37	60387
38	54695
39	65453
40	90738
41	99981
42	80620
43	61587
44	58170
45	58312
46	54277
47	48018
48	41979
49	44073
50	56554
51	69128
52	70672
53	57580
54	49671
55	46749
56	42687
57	38408
58	34173
59	33519
60	36427
61	41969
62	44950
63	43232
64	41635
65	39316
66	36656
67	33948
68	30330
69	29041
70	29419
71	30818
72	33354
73	33309
74	32893
75	31812
76	30032
77	28183
78	25460
79	24161
80	23146
81	23950
82	25020
83	25624
84	25789
85	24919
86	23859
87	22133
88	20379
89	19233
90	18138
91	18140
92	18362
93	19210
94	19192
95	18967
96	18472
97	17374
98	16074
99	14829
100	14083
101	13670
102	13563
103	13780
104	14110
105	14203
106	13833
107	13578
108	12523
109	11832
110	11367
111	10607
112	10434
113	10581
114	10733
115	10804
116	10562
117	10372
118	9836
119	9398
120	9025
121	8454
122	8253
123	7975
124	8231
125	8373
126	8148
127	8045
128	7976
129	7501
130	7219
131	6919
132	6667
133	6507
134	6556
135	6468
136	6595
137	6563
138	6527
139	6327
140	6006
141	5838
142	5472
143	5175
144	5232
145	5150
146	5174
147	5334
148	5385
149	5374
150	5185
151	5264
152	4960
153	4542
154	4438
155	4487
156	4463
157	4499
158	4710
159	4955
160	4740
161	4593
162	4349
163	4335
164	4286
165	4460
166	4899
167	5010
168	5118
169	4948
170	4710
171	4620
172	4576
173	4441
174	4912
175	5356
176	5968
177	5854
178	5444
179	5086
180	4890
181	4936
182	4866
183	4866
184	4934
185	5118
186	5332
187	5225
188	5109
189	4836
190	4777
191	4646
192	4740
193	5126
194	5353
195	5573
196	5676
197	5620
198	5281
199	4865
200	4934
201	4959
202	5198
203	5463
204	5672
205	5881
206	5960
207	5874
208	5713
209	5367
210	5144
211	5272
212	5264
213	5733
214	5734
215	5728
216	5838
217	5680
218	5379
219	5210
220	5142
221	5050
222	5107
223	5118
224	5291
225	5350
226	5217
227	5202
228	5108
229	4854
230	4671
231	4739
232	4509
233	4525
234	4733
235	4571
236	4664
237	4690
238	4421
239	4405
240	4198
241	4038
242	3984
243	4002
244	3838
245	3931
246	3864
247	3816
248	3654
249	3625
250	3585
251	3444
252	3330
253	3288
254	3242
255	3302
256	3241
257	3185
258	3014
259	3045
260	3045
261	3105
262	2809
263	2664
264	2779
265	2640
266	2656
267	2630
268	2625
269	2528
270	2494
271	2532
272	2333
273	2405
274	2359
275	2252
276	2257
277	2206
278	2298
279	2144
280	2041
281	2083
282	2069
283	2027
284	1979
285	1899
286	1814
287	1889
288	1811
289	1881
290	1781
291	1758
292	1757
293	1716
294	1623
295	1714
296	1672
297	1577
298	1583
299	1601
300	1539
301	1541
302	1563
303	1422
304	1479
305	1495
306	1428
307	1362
308	1433
309	1466
310	1477
311	1433
312	1446
313	1431
314	1339
315	1444
316	1255
317	1318
318	1244
319	1285
320	1325
321	1383
322	1344
323	1276
324	1305
325	1183
326	1179
327	1233
328	1224
329	1197
330	1227
331	1256
332	1176
333	1234
334	1270
335	1248
336	1098
337	1118
338	1228
339	1199
340	1142
341	1098
342	1193
343	1119
344	1244
345	1141
346	1130
347	1140
348	1141
349	1168
350	1128
351	1165
352	1110
353	1200
354	1181
355	1168
356	1069
357	1054
358	1080
359	1121
360	1140
361	1163
362	1145
363	1083

