## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=8_insert/P-H1-1.pdf INPUT=7_filter/P-H1-1.filter.bam OUTPUT=8_insert/P-H1-1.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 01 14:56:35 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
59	41	18	36	1709	73.37845	44.551904	2182333	FR	9	17	23	31	37	41	47	93	255	365	721			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
36	57807
37	60178
38	53256
39	61495
40	82197
41	84529
42	67792
43	54053
44	49549
45	47479
46	43452
47	37253
48	32416
49	32747
50	40530
51	47448
52	46515
53	38805
54	34377
55	32587
56	29238
57	26786
58	23197
59	22051
60	23447
61	26352
62	27678
63	27059
64	25697
65	24073
66	22693
67	20576
68	18080
69	17293
70	16862
71	17483
72	18661
73	18494
74	18108
75	17812
76	16772
77	15446
78	13783
79	12828
80	12080
81	12278
82	12777
83	13188
84	13499
85	12784
86	12225
87	11433
88	10372
89	9349
90	8811
91	8471
92	8607
93	9048
94	9261
95	8967
96	8681
97	8069
98	7622
99	6754
100	6414
101	6144
102	6163
103	6262
104	6308
105	6514
106	6267
107	6012
108	5724
109	5067
110	4716
111	4540
112	4456
113	4312
114	4513
115	4642
116	4574
117	4478
118	4162
119	3926
120	3687
121	3551
122	3403
123	3282
124	3313
125	3318
126	3412
127	3252
128	3329
129	3104
130	2926
131	2709
132	2633
133	2555
134	2523
135	2544
136	2612
137	2554
138	2643
139	2446
140	2363
141	2206
142	2183
143	1960
144	1966
145	1937
146	2087
147	1988
148	2032
149	2104
150	2069
151	2031
152	1994
153	1799
154	1633
155	1595
156	1688
157	1718
158	1825
159	1815
160	1770
161	1745
162	1605
163	1562
164	1608
165	1745
166	1852
167	2023
168	2130
169	1973
170	1857
171	1720
172	1645
173	1771
174	1942
175	2283
176	2472
177	2365
178	2185
179	1986
180	1840
181	1820
182	1767
183	1868
184	1986
185	1963
186	2105
187	2076
188	2040
189	1938
190	1883
191	1758
192	1895
193	1914
194	2124
195	2185
196	2268
197	2222
198	2114
199	1967
200	1885
201	1892
202	2054
203	2128
204	2239
205	2285
206	2398
207	2298
208	2125
209	2052
210	1986
211	2018
212	2041
213	2160
214	2175
215	2285
216	2244
217	2303
218	2143
219	2111
220	1949
221	1930
222	1968
223	2003
224	1880
225	2038
226	1990
227	1990
228	1933
229	1801
230	1821
231	1741
232	1732
233	1635
234	1764
235	1686
236	1781
237	1665
238	1642
239	1544

