## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=8_insert/P-H1-2.pdf INPUT=7_filter/P-H1-2.filter.bam OUTPUT=8_insert/P-H1-2.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 01 14:56:35 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
62	41	20	36	1840	77.862862	49.10927	2544800	FR	9	19	25	33	41	45	53	99	261	373	707			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
36	53681
37	59307
38	54516
39	64503
40	86008
41	89434
42	72548
43	58803
44	54110
45	53163
46	49541
47	43105
48	36796
49	37949
50	46643
51	54581
52	53489
53	44802
54	40219
55	37663
56	34821
57	31215
58	27803
59	26581
60	27782
61	31094
62	32415
63	31499
64	30677
65	28882
66	26994
67	24759
68	22247
69	21065
70	20500
71	21341
72	22402
73	22826
74	22315
75	21200
76	20492
77	18968
78	17335
79	16151
80	15177
81	15338
82	15741
83	16249
84	16422
85	16253
86	15314
87	14008
88	12826
89	11875
90	10982
91	10742
92	11146
93	11493
94	11292
95	11433
96	11148
97	10284
98	9651
99	8869
100	8266
101	7789
102	7871
103	7906
104	8196
105	8288
106	8092
107	7620
108	7176
109	6783
110	6465
111	5972
112	5665
113	5732
114	5799
115	5988
116	5864
117	5921
118	5543
119	5252
120	4904
121	4481
122	4327
123	4270
124	4343
125	4342
126	4480
127	4297
128	4225
129	3915
130	3885
131	3631
132	3428
133	3255
134	3362
135	3352
136	3456
137	3445
138	3573
139	3130
140	3061
141	2945
142	2848
143	2689
144	2768
145	2584
146	2716
147	2666
148	2708
149	2631
150	2829
151	2779
152	2600
153	2333
154	2186
155	2146
156	2178
157	2223
158	2396
159	2357
160	2310
161	2149
162	2026
163	2017
164	2125
165	2224
166	2365
167	2570
168	2504
169	2474
170	2333
171	2157
172	2066
173	2144
174	2322
175	2616
176	2914
177	2859
178	2609
179	2424
180	2380
181	2320
182	2278
183	2174
184	2300
185	2409
186	2577
187	2545
188	2387
189	2261
190	2266
191	2239
192	2180
193	2343
194	2413
195	2587
196	2562
197	2549
198	2458
199	2378
200	2360
201	2333
202	2327
203	2451
204	2472
205	2658
206	2630
207	2639
208	2591
209	2397
210	2387
211	2386
212	2510
213	2543
214	2638
215	2507
216	2662
217	2631
218	2431
219	2370
220	2354
221	2298
222	2289
223	2239
224	2312
225	2324
226	2360
227	2311
228	2270
229	2212
230	2000
231	2002
232	2008
233	2001
234	1993
235	2052
236	1935
237	2066
238	1991
239	1954
240	1850
241	1847
242	1711
243	1649
244	1742
245	1678
246	1694
247	1658
248	1640
249	1634
250	1595
251	1504
252	1473
253	1364
254	1425
255	1374
256	1286
257	1306
258	1310
259	1388
260	1256
261	1210
262	1236

