## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=8_insert/XF-H1-3.pdf INPUT=7_filter/XF-H1-3.filter.bam OUTPUT=8_insert/XF-H1-3.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 01 14:56:35 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
74	41	29	36	1984	100.304442	71.513052	3858230	FR	13	25	39	47	59	69	81	201	345	525	909			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
36	51422
37	59506
38	53692
39	64551
40	91999
41	102704
42	83056
43	62762
44	58869
45	58789
46	54037
47	47616
48	41982
49	44572
50	58217
51	72670
52	73564
53	59229
54	50767
55	47511
56	43641
57	38809
58	34838
59	33663
60	37080
61	42991
62	46610
63	44266
64	42494
65	40356
66	37793
67	34718
68	31401
69	29734
70	29935
71	31905
72	34206
73	34461
74	34254
75	32514
76	30770
77	29056
78	26116
79	24662
80	24184
81	24739
82	26104
83	26689
84	26669
85	25931
86	24528
87	22938
88	21123
89	19579
90	18637
91	18524
92	19009
93	19612
94	20079
95	19763
96	18910
97	17848
98	16677
99	15216
100	14593
101	14152
102	13975
103	14549
104	14645
105	14549
106	14300
107	13676
108	13222
109	12062
110	11427
111	10979
112	10877
113	10847
114	11002
115	10879
116	10940
117	10900
118	10331
119	9829
120	9159
121	8821
122	8352
123	8280
124	8250
125	8547
126	8474
127	8372
128	8141
129	7813
130	7474
131	7049
132	6680
133	6762
134	6634
135	6720
136	6750
137	6856
138	6978
139	6536
140	6017
141	5835
142	5517
143	5387
144	5407
145	5226
146	5355
147	5321
148	5602
149	5506
150	5485
151	5392
152	5042
153	4651
154	4555
155	4532
156	4582
157	4731
158	4752
159	5008
160	4841
161	4720
162	4358
163	4458
164	4462
165	4658
166	4769
167	5170
168	5413
169	5201
170	4953
171	4912
172	4698
173	4797
174	5201
175	5895
176	6179
177	5960
178	5603
179	5291
180	4946
181	5237
182	5230
183	5122
184	5272
185	5472
186	5578
187	5542
188	5268
189	5008
190	4927
191	5042
192	5172
193	5360
194	5719
195	5929
196	6144
197	5907
198	5654
199	5495
200	5279
201	5445
202	5632
203	5845
204	6201
205	6287
206	6261
207	6178
208	5941
209	5583
210	5478
211	5599
212	5651
213	6039
214	6144
215	6326
216	6151
217	6075
218	5832
219	5561
220	5577
221	5356
222	5357
223	5475
224	5763
225	5767
226	5580
227	5421
228	5580
229	5198
230	5190
231	4806
232	4877
233	4821
234	4972
235	4962
236	5014
237	4998
238	4686
239	4619
240	4513
241	4466
242	4315
243	4196
244	4164
245	4206
246	4101
247	4103
248	3909
249	3964
250	3856
251	3682
252	3579
253	3541
254	3440
255	3455
256	3498
257	3477
258	3309
259	3145
260	3145
261	3044
262	3007
263	2938
264	2975
265	2803
266	2711
267	2807
268	2805
269	2701
270	2635
271	2598
272	2467
273	2476
274	2423
275	2396
276	2326
277	2279
278	2272
279	2223
280	2319
281	2154
282	2090
283	2098
284	2027
285	2035
286	1978
287	1925
288	1933
289	1949
290	1954
291	1903
292	1876
293	1859
294	1765
295	1723
296	1800
297	1653
298	1659
299	1710
300	1728
301	1606
302	1570
303	1510
304	1530
305	1529
306	1485
307	1485
308	1490
309	1502
310	1470
311	1489
312	1476
313	1429
314	1440
315	1406
316	1468
317	1394
318	1408
319	1371
320	1413
321	1417
322	1380
323	1364
324	1361
325	1310
326	1304
327	1282
328	1279
329	1286
330	1255
331	1273
332	1353
333	1266
334	1253
335	1254
336	1233
337	1151
338	1211
339	1226
340	1170
341	1225
342	1262
343	1141
344	1328
345	1189
346	1260
347	1185
348	1184
349	1207
350	1139
351	1188
352	1170
353	1196
354	1200
355	1188
356	1216
357	1157
358	1197
359	1166
360	1184
361	1174
362	1191
363	1187
364	1185

