"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034330","GO:0034330","cell junction organization","27/538","290/18670",9.37513371821555e-08,0.000233998231518491,0.000223361816207169,"CTNND1/MAPRE2/PATJ/DLG5/CDH22/FBLIM1/FMN1/POF1B/SDK1/PTK2/CDH5/CADM1/PTPRK/CTNND2/BMP6/DLC1/ADD1/PRKCH/CDHR3/LAMC1/RAB13/PIP5K1C/RAPGEF1/DSG2/RUNX1/LAMC2/CDH19",27
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","24/538","238/18670",1.10402562641421e-07,0.000233998231518491,0.000223361816207169,"MAPRE2/ROBO1/DGKI/TRIO/AUTS2/MAPKAP1/NGEF/ITPKB/ARHGAP42/VAV3/ARHGEF37/ABCA1/DLC1/SPATA13/ARHGEF6/ARHGEF26/MYO9B/EPO/ABRA/ARHGEF5/RAPGEF1/TIAM2/AKAP13/ARHGDIB",24
"GO:0035023","GO:0035023","regulation of Rho protein signal transduction","17/538","140/18670",5.96319800616553e-07,0.00084259987827119,0.000804299408270186,"ROBO1/TRIO/NGEF/ARHGAP42/VAV3/ARHGEF37/ABCA1/DLC1/SPATA13/ARHGEF6/ARHGEF26/MYO9B/ABRA/ARHGEF5/TIAM2/AKAP13/ARHGDIB",17
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","27/538","338/18670",1.94101822447364e-06,0.00205699406338593,0.00196349317233596,"STARD13/MAPRE2/ROBO1/DGKI/TRIO/AUTS2/MAPKAP1/NGEF/ITPKB/ARHGAP42/VAV3/ARHGEF37/ABCA1/DLC1/SPATA13/RALGAPA2/ARHGEF6/ARHGEF26/MYO9B/ARHGAP21/EPO/ABRA/ARHGEF5/RAPGEF1/TIAM2/AKAP13/ARHGDIB",27
"GO:0034329","GO:0034329","cell junction assembly","21/538","241/18670",7.11671584055142e-06,0.00603355168961949,0.00575929593496414,"CTNND1/PATJ/DLG5/CDH22/FBLIM1/FMN1/POF1B/PTK2/CDH5/PTPRK/CTNND2/DLC1/PRKCH/CDHR3/LAMC1/RAB13/PIP5K1C/RAPGEF1/RUNX1/LAMC2/CDH19",21
"GO:0034332","GO:0034332","adherens junction organization","15/538","142/18670",1.5283636698361e-05,0.0107978893273921,0.0103070700821929,"CTNND1/MAPRE2/DLG5/CDH22/FMN1/PTK2/CDH5/CADM1/PTPRK/BMP6/DLC1/ADD1/CDHR3/PIP5K1C/CDH19",15
"GO:0007266","GO:0007266","Rho protein signal transduction","18/538","203/18670",2.51689492439669e-05,0.0152415965493108,0.0145487881043321,"ROBO1/TRIO/NGEF/ARHGAP42/VAV3/ARHGEF37/ABCA1/DLC1/SPATA13/ARHGEF6/ARHGEF26/MYO9B/CDC42EP3/ABRA/ARHGEF5/TIAM2/AKAP13/ARHGDIB",18
"GO:0007265","GO:0007265","Ras protein signal transduction","29/538","448/18670",4.61347413114051e-05,0.0244456460523808,0.0233344665264528,"MAPRE2/ROBO1/DGKI/TRIO/AUTS2/MAPKAP1/NGEF/ITPKB/ARHGAP42/VAV3/ARHGEF37/ABCA1/DLC1/SPATA13/ELMO1/ARHGEF6/ARHGEF26/RAB13/MYO9B/EPO/RAP2B/CDC42EP3/PRKD1/ABRA/ARHGEF5/RAPGEF1/TIAM2/AKAP13/ARHGDIB",29
"GO:1903727","GO:1903727","positive regulation of phospholipid metabolic process","8/538","48/18670",6.16880672580167e-05,0.0290550796785259,0.0277343778409142,"PTK2/FLT1/VAV3/ACSL3/IRS1/CAPN2/HTR2A/PRKD1",8
"GO:0046579","GO:0046579","positive regulation of Ras protein signal transduction","9/538","64/18670",8.61009595907283e-05,0.0364981967705097,0.03483916722808,"MAPRE2/ROBO1/DGKI/AUTS2/ITPKB/EPO/ABRA/RAPGEF1/AKAP13",9
